name,ring,quadrant,isNew,description
React,Adopt,languages-and-frameworks,FALSE,"<p>We use <a href=""https://reactjs.org/"">React</a> for all of our frontend projects. </p>"
Styled components,Adopt,languages-and-frameworks,FALSE,"<p>We use <a href=""https://styled-components.com/"">Styled components</a> for styling our React apps. This allows us to reuse styles and write CSS in a way that is similar to writing React components themselves. </p>"
Jest,Adopt,languages-and-frameworks,FALSE,<p>As the industry standard test framework for Javascript apps we use Jest to test both our backend and frontend applications. It provides an easy way to run our tests and create mocked dependencies.</p>
Typescript,Adopt,languages-and-frameworks,FALSE,<p>The OP API and OA frontend are written entirely in Typescript. We are slowly migrating the OP FE from Javascript to Typescript in order to provide a better developer experience and help to reduce bugs in our code.</p>  <p>For new repos and code Typescript is our default language going forward</p>
Microservices,Assess,Techniques,FALSE,<p>Currently our API is a monolith app. We are already struggling with many teams commiting to the same repo and as we scale this will only increase. We will soon start splitting out microservices from our monolith API in order to start learning what this entails. </p>
Cypress,Trial,Tools,FALSE,<p>We will use Cypress for E2E testing our applications. There is some infrastructure work needed before we can fully create an E2E test suite but once that is done it will be full speed ahead with Cypress</p>
Javascript,Hold,languages-and-frameworks,FALSE,<p>We are slowly migrating the OP FE app away from Javascript in order to provide a better developer experience using Typescript.</p> <p>We will no longer be adding new Javascript to our applications</p>
ExpressJS,Adopt,languages-and-frameworks,FALSE,<p>We use express as a minimalist framework to build our REST APIs on.</p> <p>Our OP API is an express app wrapped in the serverless framework.</p>
Auth0,Adopt,Tools,FALSE,<p>Auth0 handles the authentication of our users and contains role information for each user which our application then uses to determine what a user can and can't do.</p>
Serverless.js,Adopt,languages-and-frameworks,FALSE,"<p>Serverless.js is the framework we use to provision our backend infrastructure. Our OP API app is an express app 'wrapped' in the serverless framework which, using cloud formation, creates a lambda, API gateway, Databases for our app. </p>"
Redux,Hold,languages-and-frameworks,FALSE,<p>Redux is the global state management framework we used when first building out our OP FE application. We are now moving away from Redux towards using React-query as Redux introduces a lot of boilerplate overhead and is overkill for what we were using it for.</p>
React-query,Adopt,languages-and-frameworks,FALSE,<p>React query is our go to library on the FE for handling communications with our API and managing global client side state</p><p>We are in the process of moving away from Redux and so any new features should be using React query</p>
React testing library,Adopt,languages-and-frameworks,FALSE,<p>React testing library is a framework we use to make testing our React application easier and the tests closer to how our users use the app in the wild. </p>
AWS,Adopt,Platforms,FALSE,<p>AWS is our cloud provider where we host all of our infrastructre and application data</p>
DynamoDB,Adopt,Tools,FALSE,<p>DynamoDB is our database of choice for all OP API related data</p>
